,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Sterlitamak,67,RU,1566743279,80,53.63,55.95,3428.2264812799995,4.52
272,Labuhan,96,ID,1566742926,90,-2.54,115.51,3862.9027040000014,0.61
273,Kaitangata,100,NZ,1566742829,83,-46.28,169.85,2850.9029911040006,0.45
274,Araouane,84,ML,1566743279,31,18.9,-3.53,4677.15534656,5.76
275,Yaan,41,NG,1566742931,73,7.38,8.57,4138.4017184,0.7
276,Saldanha,100,PT,1566742872,28,41.42,-6.55,4291.4567264,0.96
277,Catuday,100,PH,1566743280,82,16.29,119.81,4156.7683193600005,5.26
278,Belgrade,0,RS,1566743055,40,44.82,20.46,4306.762227200002,5.1
279,Narsaq,0,GL,1566742836,30,60.91,-46.05,3143.5441664000004,2.1
280,Nome,40,US,1566742924,83,30.04,-94.42,4211.255902208,1.54
281,Sines,42,PT,1566743280,80,37.96,-8.87,3599.0358702080007,4.47
282,Harrismith,0,ZA,1566743281,9,-28.27,29.13,3715.9698963200003,4.19
283,Constitucion,90,MX,1566743281,100,23.99,-104.67,3429.4509213440006,2.6
284,Pokrovskoye,28,RU,1566743281,37,47.41,38.9,4309.82332736,7.13
285,Buluang,20,PH,1566743281,78,10.47,123.98,4123.0962176,2.15
286,Anamur,20,TR,1566743282,59,36.08,32.84,4429.206233600001,3.6
287,Vila Velha,40,BR,1566742827,55,-3.71,-38.6,4245.540224,10.8
288,Havoysund,40,NO,1566742887,71,71.0,24.66,3204.766169600001,8.7
289,Raudeberg,88,NO,1566742925,88,61.99,5.14,3694.5421952000015,7.2
290,Belaya Gora,42,RU,1566742926,89,68.54,146.19,3177.2162681600003,2.65
291,Karratha,0,AU,1566742811,68,-20.74,116.85,3446.59308224,4.02
292,Tecoanapa,40,MX,1566742866,88,16.99,-99.26,4123.0962176,0.88
293,Tevaitoa,0,PF,1566743283,66,-16.78,-151.5,3954.735708800001,2.73
294,Muros,20,ES,1566743283,73,42.77,-9.06,3939.4302080000007,5.1
295,Soyo,75,AO,1566743081,69,-6.13,12.37,4000.6522112000016,2.1
296,Rome,0,IT,1566743085,62,41.89,12.48,4245.540224,4.6
297,Te Anau,100,NZ,1566742833,86,-45.41,167.72,2736.4178451200005,2.06
298,Shenzhen,75,CN,1566743116,94,22.54,114.05,4184.3182208,4.0
299,Diamantina,0,BR,1566743284,34,-18.24,-43.6,4040.446513280001,4.04
300,Port Lincoln,67,AU,1566742909,60,-34.72,135.86,3152.7274668800005,2.97
301,Cucuta,20,BO,1566743284,45,-16.46,-68.3,2898.6561536000004,2.1
302,Kavaratti,100,IN,1566742816,77,10.57,72.64,4113.91291712,8.87
303,Lebu,40,ET,1566742825,53,8.96,38.73,3755.7641984,3.1
304,Los Llanos de Aridane,0,ES,1566743285,74,28.66,-17.92,4211.255902208,7.2
305,Manokwari,54,ID,1566743285,84,-0.87,134.08,3838.413902720001,2.04
306,Andros Town,75,BS,1566743285,74,24.73,-77.79,4279.824545792,3.1
307,Kentau,0,KZ,1566743285,18,43.52,68.5,4120.035117440001,10.29
308,Bani,0,YE,1566743285,82,16.02,42.93,4297.57892672,5.47
309,Cravo Norte,56,CO,1566743286,67,6.3,-70.2,4254.72352448,0.86
310,Fowa,87,NG,1566743286,70,8.92,6.4,4175.134920320001,1.49
311,Vila,40,IT,1566743286,45,45.18,8.4,4347.780969344001,2.6
312,San Patricio,0,PY,1566742819,52,-26.98,-56.83,3918.002506880001,3.61
313,Keflavik,90,IS,1566743287,93,64.0,-22.56,3021.10016,12.3
314,Boa Vista,40,BR,1566743287,52,2.82,-60.67,4306.762227200002,6.2
315,Sitka,0,US,1566743287,74,37.17,-99.65,3911.8803065600005,5.56
316,Whitehorse,90,CA,1566743288,100,60.72,-135.06,2837.4341504000004,1.0
317,Kahului,20,US,1566742835,78,20.89,-156.47,4000.6522112000016,7.2
318,San Pedro,100,AR,1566743288,69,-33.68,-59.66,3463.123023104001,1.34
319,College,1,US,1566742927,93,64.86,-147.8,2680.705822208,2.1
320,Sao Lourenco da Mata,75,BR,1566743288,78,-8.0,-35.02,4061.8742144,3.6
321,Cuaspud,20,CO,1566743289,71,0.86,-77.73,3082.3221632000004,2.1
322,Egvekinot,29,RU,1566743149,87,66.32,-179.17,2944.5726560000003,2.51
323,Jamkhed,99,IN,1566743289,83,18.74,75.31,3795.55850048,2.27
324,Sindhnur,100,IN,1566743289,66,15.78,76.77,4022.0799123200013,7.66
325,Nova Ushytsya,10,UA,1566743290,39,48.84,27.27,4211.255902208,2.68
326,Kutum,24,SD,1566743290,35,14.2,24.66,4260.8457248,6.15
327,Dicabisagan,100,PH,1566743290,92,17.08,122.42,3899.635905920001,1.05
328,Kumano,75,JP,1566743290,88,34.34,132.59,3816.9862016,1.5
329,Aksarka,1,RU,1566743291,71,66.56,67.8,2791.5176480000005,2.72
330,Kasongo,75,CD,1566743291,27,-4.43,26.67,4469.00053568,2.26
331,Mogadishu,75,SO,1566743291,69,2.04,45.34,4061.8742144,6.7
332,Itoman,20,JP,1566742852,79,26.12,127.67,4184.3182208,3.1
333,Cidreira,100,BR,1566742841,57,-30.17,-50.22,3544.54828736,9.03
334,Henties Bay,0,NA,1566742856,57,-22.12,14.28,3837.189462656,4.02
